"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Africa Eastern and Southern","AFE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","3.58860545099189","2.20387104099134","2.02681329072802","3.48342948777649","3.85662465118898","1.43977211326113","1.70026245748958","1.4063786149016","0.938531422770382","3.15249263196719","6.60888868987278","3.67874291232189","2.56745398215664","3.26146130277442","0.840022640975383","2.37000190099701","2.03890833497711","2.39943468818978","3.08501566442254","2.45016155823969","1.51626729890791","1.3206804953344","1.12381167485998","1.22841241730146","1.48108332893386","0.548998225692086","0.910766205005788","0.575225015403103","0.416524661748359","0.306184071166978","0.48306266536069","0.510273513254176","0.606819415209197","0.230903544433628","0.405895879740158","0.701883374740519","1.3242848300908","1.51561367973106","1.56845460133273","0.991235957911243","1.75042021270454","2.04906064380755","1.59805729764158","1.55360484335542","1.11646938582463","0.547643975072691","0.745618609093157","0.999912455880383","0.864085147316503","0.992698203521235","1.26576126120042","4.24620261755219","","","","",
"Afghanistan","AFG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.00231624131877265","0.00299451617981368","0.00198882413948307","0.00281249304025955","0","0","0","0","0","","","","",
"Africa Western and Central","AFW","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.207041405018303","0.230540001700369","0.21999699800066","0.228641503542336","0.715849937750574","0.493326726578282","0.312166436215075","0.574734037639415","0.195095092369705","0.241586395022789","0.299895589732775","0.132853509683367","0.122757891833494","0.148186907899275","0.163889661350988","0.171034671340184","0.610643972539038","0.51818521865496","0.563813071041501","0.743302259343202","0.598783609910378","0.62377568633646","0.56552784289353","0.477710899248067","0.48368337103468","0.173915526756804","0.194526411822847","0.170933646736539","0.149848433001332","0.2575923827597","0.310213792725404","0.320775069039891","0.313763244135989","0.147559682214669","0.18445232680868","0.310383766333044","0.437354397198417","0.566993456416975","0.591728597684375","0.643132038050249","0.788874992564152","1.08974077372795","0.979564866523055","0.696337832271486","0.532384878661045","0.408622516212006","0.553909649939228","0.678834521621881","0.599728674805361","0.38317945147467","0.500417989650243","1.47992681373069","","","","",
"Angola","AGO","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Albania","ALB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","0.604964557488995","0.692259344189886","0.440841190981462","0.67423879239664","3.64766860240634","3.65113125208662","1.48916309567935","2.32270804708197","0.431830628040228","0.146794463346594","0.045027311565542","0.0371836556084784","0.0374604683665921","0.00860043303615463","0.0183314952147957","0.0056724020334504","0","0","0","0","0.00996934027917021","0.0251232422071704","0.121229707314126","0.834611352735755","0.0787066226839956","0.0418367002792885","0.142023694482101","0.218928064038002","0.16577444361184","0.111634515955776","0.1053812583674","0.0657948465115933","0.00269413280085731","0","0.04086882669798","0.0363885551416296","0.038933811291737","0.180213705970408","","","","",
"Andorra","AND","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Arab World","ARB","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.174852273462901","0.136736504611194","0.113043479592425","0.162593452511244","0.930781583542577","0.710284059001588","0.258442074157828","0.523022064078505","0.103442089010606","0.117656226982209","0.124167692740284","0.144098697955628","0.127023954488231","0.11750037432529","0.0811071096497392","0.110786792529193","0.0669795622942016","0.0355533373104624","0.178951555206854","0.0519072120328477","0.0350189138115734","0.0183526969265864","0.0249228272175774","0.0198424073611594","0.029410324174542","0.0265282637038265","0.0215991534525723","0.0173468089376753","0.0212968628065587","0.0131849176133814","0.0124935344033607","0.0135783326944837","0.0146171368021211","0.0065289430282188","0.0484370574949553","0.0818206337505782","0.104067645872615","0.17018187603242","0.56970686470337","0.461373473629702","0.418144565551931","0.519888390809066","0.434764110429884","0.303547930845692","0.228804125872761","0.184922562129387","0.208452051198213","0.224333598008529","0.147338257519668","0.0507583239927832","0.0693472830236353","0.176827634266356","","","","",
"United Arab Emirates","ARE","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",
"Argentina","ARG","Mineral rents (% of GDP)","NY.GDP.MINR.RT.ZS","","","","","","","","","","","0.0256683352038599","0.0171747749445276","0.0259318087567537","0.0558110074994554","0.0667695801867535","0.0299988854709001","0.0389514934940673","0.043100831561264","0.0311657519727314","0.0592260663266087","0.0659179105465574","0.0302226498664303","0.0189869916691643","0.0221780455900773","0.028056467255018","0.0225924358048329","0.0110467408498792","0.0121392886774741","0.187625766295638","0.296510962883015","0.0601098558208693","0.0128675157839919","0.00825985413756077","0.00284338142817316","0.00487394228503146","0.00619887926665339","0.00551745731755889","0.00453797627963355","0.0142563343869074","0.0222519842190338","0.00202036861517756","0.00111911886452934","0.199715933167191","0.189784357636658","0.226514483940778","0.208636458798292","0.550799857825752","0.431152490862906","0.308451843578567","0.299002837971809","0.522757302492207","0.516427776041125","0.43194166388869","0.230446181526568","0.237871846918485","0.0765780091289773","0.145541934044561","0.103008865365039","0.182567164137328","0.187297066049264","0.257461778111357","0.580266654524776","","","","",
